treatment;ID;morphospecies;sindrome;ID_SEED;month;abundance;forest_fragment;seed_diameter;seed_length;;;;;;;;;;;;;;;
live_tree 04;196;Cecropia sp;zoochooric;11;novembro;54;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 04;197;Cecropia sp;zoochooric;11;dezembro;130;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 04;198;Cecropia sp;zoochooric;11;janeiro;98;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 04;199;Cecropia sp;zoochooric;11;março;1;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 04;200;Cecropia sp;zoochooric;11;abril;4;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 04;201;Pera glabrata;zoochooric;8;novembro;3;1;4.299;6.082;;;;;;;;;;;;;;;
live_tree 04;202;copaífera sp. morfo 2;zoochooric;15;novembro;3;1;11.2575;14.27;;;;;;;;;;;;;;;
live_tree 04;203;morfo 34;zoochooric;60;novembro;3;1;2.7125;2.695;;;;;;;;;;;;;;;
live_tree 04;204;morfo 24;autochorous;48;fevereiro;2;1;4.786818182;5.332181818;;;;;;;;;;;;;;;
live_tree 04;205;morfo 36;zoochooric;62;fevereiro;1;1;2.486;5.815;;;;;;;;;;;;;;;
live_tree 04;206;Xylopia sp. morfo 40;zoochooric;66;março;1;1;5.60875;7.915;;;;;;;;;;;;;;;
live_tree 04;207;morfo 8;anemochorous;25;maio;16;1;2.407;3.809;;;;;;;;;;;;;;;
live_tree 04;208;Euterpe edulis;zoochooric;110;julho;1;1;11.205;10.115;;;;;;;;;;;;;;;
live_tree 04;209;morfo 76;zoochooric;117;agosto;1;1;3.3;2.66;;;;;;;;;;;;;;;
live_tree 04;210;asteraceae;anemochorous;5;agosto;1;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 04;211;Cecropia sp;zoochooric;11;setembro;9;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 04;212;Poaceae;anemochorous;14;setembro;3;1;2.15;3.449;;;;;;;;;;;;;;;
live_tree 04;213;Poaceae;anemochorous;14;outubro;2;1;2.15;3.449;;;;;;;;;;;;;;;
live_tree 04;214;Cecropia sp;zoochooric;11;outubro;6;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 05;215;Cecropia sp;zoochooric;11;dezembro;784;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 05;216;Cecropia sp;zoochooric;11;janeiro;11;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 05;217;Cecropia sp;zoochooric;11;março;15;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 05;218;Cecropia sp;zoochooric;11;junho;1;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 05;219;morfo 39;zoochooric;65;janeiro;2;1;4.39;7.13;;;;;;;;;;;;;;;
live_tree 05;220;Xylopia sp. morfo 40;zoochooric;66;janeiro;1;1;5.60875;7.915;;;;;;;;;;;;;;;
live_tree 05;221;Euphorbiaceae morfo;autochorous;30;fevereiro;1;1;4.44;5.53;;;;;;;;;;;;;;;
live_tree 05;222;Terminalia sp (combretaceae);anemochorous;83;março;17;1;2.886;4.967;;;;;;;;;;;;;;;
live_tree 05;223;Terminalia sp (combretaceae);anemochorous;83;abril;3;1;2.886;4.967;;;;;;;;;;;;;;;
live_tree 05;224;morfo 36;zoochooric;62;março;1;1;2.486;5.815;;;;;;;;;;;;;;;
live_tree 05;225;asteraceae;anemochorous;5;abril;1;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 05;226;Annona (Guatteria);zoochooric;36;junho;1;1;4.592;8.48;;;;;;;;;;;;;;;
